PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
32,319805191,1.670579314,0.426580071,-82.80677795,-0.138353705,0.32842958,9.184043884,2.423247337,-0.779056907,0.467088372,-0.912597656,0.113769531,-1.565917969, 
33,319813524,1.667401671,0.416909158,-82.79225159,-0.200911209,0.332497686,9.11296463,1.023147821,-2.145550966,0.557942092,-0.911621094,0.111328125,-1.564453125, 
34,319821857,1.664727449,0.386386037,-82.79115295,-0.156458944,0.28245312,9.230291367,-0.321125597,-3.657712221,0.237969026,-0.912597656,0.114746094,-1.565429688, 
35,319830190,1.646720409,0.365432113,-82.7866745,-0.118725374,0.229088649,9.388001442,-1.30327785,-3.710478067,0.199009791,-0.913085938,0.114746094,-1.564453125, 
36,319838523,1.639047742,0.336520106,-82.78536224,-0.149595901,0.185143933,9.580924988,-0.922368705,-3.46496582,0.255745351,-0.912597656,0.113769531,-1.563476563, 
37,319846856,1.633303761,0.321584851,-82.77476501,-0.086745135,0.151980355,9.683299065,0.051907249,-3.014155149,0.210997239,-0.9140625,0.113769531,-1.561523438, 
38,319855189,1.643762469,0.299375355,-82.77172852,-0.091729403,0.15146628,9.701713562,1.253445387,-2.654659033,0.43911761,-0.916503906,0.112304688,-1.563964844, 
39,319863522,1.658399701,0.295476794,-82.76387787,-0.074782938,0.168523103,9.657522202,2.694143534,-1.652194977,0.393319368,-0.913574219,0.110839844,-1.561523438, 
40,319871855,1.689110637,0.289648205,-82.76113129,-0.072540894,0.207034603,9.514364243,3.685644865,-0.690047443,0.34606111,-0.914550781,0.111816406,-1.564453125, 
41,319880188,1.715279102,0.298438221,-82.75430298,-0.086357921,0.236264735,9.354879379,4.247621536,-0.010553065,0.37864244,-0.917480469,0.111328125,-1.5625, 
42,319888521,1.743460894,0.297288984,-82.75178528,-0.078060396,0.266260356,9.240921974,3.381475925,-0.130658209,0.304463595,-0.915039063,0.110839844,-1.562988281, 
43,319896854,1.751030564,0.293712407,-82.74987793,-0.135513395,0.268372327,9.257880211,1.977047563,-1.40906477,-0.183500379,-0.913085938,0.111816406,-1.564453125, 
44,319905187,1.7600981,0.261900872,-82.75484467,-0.111700676,0.281400144,9.252077103,1.091230392,-3.835142374,-0.478345782,-0.915527344,0.108886719,-1.564941406, 
45,319913520,1.760764241,0.230674624,-82.75331879,-0.131711349,0.251887381,9.27278614,1.009239316,-4.710790634,-0.193618,-0.9140625,0.11328125,-1.563964844, 
46,319921853,1.763858318,0.20180814,-82.75305176,-0.139628723,0.2302237,9.39771843,0.37375012,-3.462302208,0.13845776,-0.912109375,0.111328125,-1.564453125, 
47,319930186,1.758462787,0.18783018,-82.74394989,-0.085394181,0.243901268,9.46667099,0.17493242,-2.642722845,0.403001606,-0.913085938,0.110351563,-1.564941406, 
48,319938519,1.764807582,0.161105275,-82.74136353,-0.051758349,0.213316366,9.462968826,0.762548506,-3.197808981,0.405460507,-0.913574219,0.11328125,-1.561035156, 
49,319946852,1.768330097,0.135604829,-82.73396301,-0.048520748,0.214862511,9.486790657,1.226678491,-4.033063889,0.401669621,-0.913574219,0.112792969,-1.5625, 
50,319955185,1.778350353,0.113242537,-82.73480988,-0.101578206,0.166033939,9.515483856,1.203395367,-2.68747139,-0.021029288,-0.916015625,0.112304688,-1.562011719, 
51,319963518,1.782663465,0.108600445,-82.72583771,-0.024590444,0.190371096,9.585702896,1.345323443,-1.437009692,0.289965957,-0.916503906,0.111328125,-1.563476563, 
52,319971851,1.807110548,0.100939684,-82.72200012,-0.049321964,0.183924735,9.556779861,2.936095476,-0.906052351,0.486580819,-0.915527344,0.114257813,-1.562011719, 
53,319980184,1.825306416,0.098635405,-82.71908569,-0.070029043,0.160489887,9.559136391,3.092829227,-1.126667619,-0.280527085,-0.91796875,0.110839844,-1.5625, 
54,319988517,1.846698165,0.077178381,-82.72718048,-0.065519512,0.182777494,9.538720131,2.569658041,-2.606171131,-0.893552601,-0.915039063,0.110351563,-1.562011719, 
55,319996850,1.862450242,0.04670516,-82.73329926,-0.108864866,0.22450839,9.524279594,2.876670837,-4.497603416,-1.312985778,-0.91796875,0.110351563,-1.565917969, 
56,320005183,1.887699366,0.004054891,-82.74625397,-0.133096397,0.241592124,9.513577461,3.032405376,-5.16882515,-1.392185092,-0.917480469,0.110351563,-1.563964844, 
57,320013516,1.907067776,-0.020685976,-82.74887085,-0.115013242,0.294593096,9.448663712,3.328121662,-3.808810949,-1.148567796,-0.915527344,0.107421875,-1.560058594, 
58,320021849,1.936903954,-0.040444862,-82.75319672,-0.080291502,0.297162175,9.312573433,3.583342314,-2.389936447,-0.441435784,-0.916503906,0.112304688,-1.559570313, 
59,320030182,1.956708312,-0.048520066,-82.74721527,-0.057852503,0.301655859,9.255345345,3.316338778,-1.827037811,0.091481239,-0.916015625,0.110351563,-1.562011719, 
60,320038515,1.97802043,-0.071166217,-82.74549866,-0.062657103,0.299455553,9.259113312,2.561000824,-2.711548328,0.29552424,-0.920898438,0.109375,-1.563964844, 
61,320046848,1.990963459,-0.090393223,-82.73469543,-0.089819856,0.302929819,9.230259895,2.4042418,-3.15265131,0.247446343,-0.91796875,0.108398438,-1.561523438, 
62,320055181,2.005543709,-0.110419169,-82.72926331,-0.098222665,0.337357312,9.251942635,1.753819585,-2.382662058,0.731273651,-0.920410156,0.109375,-1.562011719, 
63,320063514,2.009182453,-0.120386995,-82.71200562,-0.119287297,0.326519936,9.272657394,1.215279937,-2.011741877,1.1333915,-0.918457031,0.109863281,-1.560546875, 
64,320071847,2.01539731,-0.139557794,-82.70279694,-0.106517538,0.273702234,9.324555397,0.752968848,-2.264784813,1.1787287,-0.917480469,0.106933594,-1.563476563, 
65,320080180,2.013102293,-0.152617887,-82.68428802,-0.087502435,0.23161079,9.396338463,0.411018819,-2.423798084,1.102705598,-0.917480469,0.107910156,-1.561035156, 
66,320088513,2.011869669,-0.178760439,-82.67816162,-0.059716236,0.170829803,9.484751701,-0.141826019,-3.113384962,0.83923769,-0.919433594,0.108886719,-1.562011719, 
67,320096846,2.004556417,-0.214948818,-82.66908264,-0.074020177,0.15942733,9.589747429,-0.187982857,-5.251430511,0.358817011,-0.920410156,0.109375,-1.561035156, 
68,320105179,2.005099058,-0.27362588,-82.67625427,-0.079083204,0.140045524,9.64350605,0.066174366,-7.07237196,-0.620402336,-0.919921875,0.108886719,-1.560058594, 
69,320113512,1.999773979,-0.339064866,-82.67721558,-0.04066487,0.141779125,9.633806229,0.128673121,-8.800104141,-0.785281241,-0.922851563,0.108398438,-1.561523438, 
70,320121845,2.003862143,-0.431056082,-82.69036102,-0.063408799,0.162465885,9.634407043,0.485812426,-11.09255219,-1.198464632,-0.919433594,0.109375,-1.5625, 
71,320130178,2.003458977,-0.544467866,-82.70897675,-0.040619448,0.146487951,9.61081028,0.793004155,-14.62854958,-2.600409269,-0.922851563,0.110839844,-1.558105469, 
72,320138511,2.015924692,-0.678592563,-82.73506927,0.08732754,0.126756549,9.551490784,1.466735482,-16.20018768,-2.572668791,-0.928222656,0.108886719,-1.556640625, 
73,320146844,2.019694328,-0.782475591,-82.74549866,-0.049681243,0.152943254,9.674581528,1.356722355,-13.47772598,-2.018069267,-0.924804688,0.111328125,-1.557617188, 
74,320155177,2.039208412,-0.886087418,-82.76691437,-0.050953686,0.169514492,9.629218102,2.308624268,-12.52398014,-2.1366117,-0.926757813,0.111328125,-1.555664063, 
75,320163510,2.057556152,-0.968020499,-82.76803589,0.005125274,0.237081707,9.610390663,3.178227186,-10.8007288,-1.180457592,-0.928222656,0.106933594,-1.554199219, 
76,320171843,2.097249269,-1.039435506,-82.77268982,0.02763813,0.248078644,9.501717567,4.761468887,-8.591014862,-0.256116718,-0.930175781,0.104980469,-1.553222656, 
77,320180176,2.132257938,-1.103524685,-82.76451874,0.001869184,0.305786133,9.366342545,5.213253021,-8.653488159,0.169374153,-0.930175781,0.105957031,-1.551757813, 
78,320188509,2.163380384,-1.197695971,-82.76870728,-0.058892861,0.415811181,9.233217239,3.730829,-11.31913757,-0.088369124,-0.930664063,0.106933594,-1.554199219, 
79,320196842,2.173654556,-1.319481134,-82.76615906,0.006289781,0.491887182,9.074192047,2.189748526,-15.62783813,-0.332959533,-0.937011719,0.103515625,-1.552246094, 
80,320205175,2.183491468,-1.4448632,-82.76600647,-0.019361055,0.515959442,9.161660194,1.187130332,-15.04170609,0.58025223,-0.9375,0.104492188,-1.55078125, 
81,320213508,2.183371544,-1.516100645,-82.74729919,-0.018025219,0.41940096,9.406086922,0.841338038,-9.547732353,1.53617537,-0.936035156,0.100585938,-1.55078125, 
82,320221841,2.205859423,-1.542019248,-82.72193146,0.15672037,0.417478323,9.472099304,2.787968397,-2.999861956,3.146977663,-0.938476563,0.106445313,-1.551269531, 
83,320230174,2.235866785,-1.532591105,-82.67980194,0.15717572,0.430896342,9.435077667,4.401588917,0.171269596,4.172853947,-0.938476563,0.101074219,-1.552246094, 
84,320238507,2.268126249,-1.540208459,-82.65018463,0.162046924,0.419203609,9.407479286,3.975367785,-0.781925857,3.5718925,-0.938476563,0.102050781,-1.553710938, 
85,320246840,2.293429375,-1.566810489,-82.61522675,0.192324281,0.40114522,9.428473473,3.723886728,-4.152733326,3.436572075,-0.937988281,0.104980469,-1.551269531, 
86,320255173,2.326626062,-1.614783883,-82.59278107,0.057581801,0.423938304,9.459826469,4.068296432,-5.652934074,2.908432722,-0.939453125,0.102050781,-1.551269531, 
87,320263506,2.351756573,-1.665686846,-82.55947876,-0.001555971,0.412071943,9.41354847,3.625938416,-7.048345566,2.98770833,-0.940429688,0.102539063,-1.548828125, 
88,320271839,2.376846075,-1.727808714,-82.53528595,-0.049288467,0.424655944,9.434226036,3.107019901,-7.340118408,3.193288565,-0.941894531,0.099121094,-1.551757813, 
89,320280172,2.400994539,-1.776727796,-82.49436951,-0.064551547,0.41580373,9.4851017,3.488082647,-6.813386917,4.052313328,-0.940429688,0.102539063,-1.548828125, 
90,320288505,2.434160233,-1.832958341,-82.45591736,-0.058164772,0.384953409,9.423575401,4.135482788,-6.558269024,4.876528263,-0.942382813,0.102050781,-1.545898438, 
91,320296838,2.473371267,-1.88279593,-82.40136719,-0.009129819,0.380781472,9.373929024,5.305925369,-6.947784901,5.698284149,-0.944824219,0.103027344,-1.549316406, 
92,320305171,2.501316547,-1.934992194,-82.35257721,0.010582197,0.35829398,9.333499908,3.558342695,-6.016553879,6.100274086,-0.940917969,0.100585938,-1.548339844, 
93,320313504,2.518182516,-1.988562584,-82.28964233,0.015499233,0.370329171,9.278341293,2.644708395,-7.428974628,6.700723648,-0.944335938,0.1015625,-1.549316406, 
94,320321837,2.538091183,-2.047702551,-82.23420715,0.13171646,0.301835507,9.221132278,2.63587141,-6.812798023,6.937551975,-0.942871094,0.104003906,-1.550292969, 
95,320330170,2.541576862,-2.078797102,-82.16345215,0.090257816,0.259039283,9.296312332,1.077962399,-4.740888119,7.641713142,-0.94140625,0.103515625,-1.548828125, 
96,320338503,2.53652215,-2.117177248,-82.10436249,0.058913112,0.232105777,9.21645546,-0.335264683,-4.303242207,7.26451683,-0.946289063,0.10546875,-1.549316406, 
97,320346836,2.519435167,-2.162997246,-82.0435257,0.15155144,0.270360023,9.223534584,-1.397359133,-6.577403545,6.430826187,-0.939453125,0.103515625,-1.549804688, 
98,320355169,2.496301889,-2.233505011,-81.99440002,0.208862036,0.240342498,9.18657589,-2.538780928,-8.212591171,6.236029625,-0.946289063,0.104980469,-1.549316406, 
99,320363502,2.456611395,-2.294706583,-81.93899536,0.177518919,0.246784657,9.238186836,-4.078170776,-8.467555046,5.976633549,-0.947265625,0.107421875,-1.548339844, 
100,320371835,2.409388781,-2.372326374,-81.89461517,0.151978984,0.261895329,9.278381348,-5.437749386,-9.099099159,5.691215038,-0.946777344,0.10546875,-1.547363281, 
101,320380168,2.355632067,-2.438535929,-81.84438324,0.24732092,0.243969202,9.286413193,-5.738870621,-9.086984634,5.43281889,-0.945800781,0.110351563,-1.543945313, 
102,320388501,2.301554441,-2.506890774,-81.79670715,0.233522102,0.233165428,9.31914711,-6.229894638,-7.984086514,6.020895958,-0.946777344,0.112304688,-1.543457031, 
103,320396834,2.235529661,-2.551775455,-81.74557495,0.244324505,0.186641395,9.373063087,-7.171371937,-6.530759811,5.453770638,-0.947265625,0.110839844,-1.544433594, 
104,320405167,2.166463137,-2.604895592,-81.70326996,0.261312008,0.138002351,9.571466446,-8.046021461,-6.196749687,5.291069508,-0.946289063,0.112792969,-1.543945313, 
105,320413500,2.101947308,-2.654271841,-81.65895844,0.272090226,0.162953004,9.524723053,-6.970685005,-7.086307049,4.966767311,-0.948730469,0.1171875,-1.546386719, 
106,320421833,2.045197487,-2.739467859,-81.62083435,0.341044515,0.16323255,9.522405624,-6.580168724,-10.07643604,4.909852028,-0.948242188,0.116699219,-1.544921875, 
107,320430166,1.992275715,-2.829306364,-81.5765686,0.379162997,0.150237441,9.507660866,-5.527041435,-11.94215393,4.983161449,-0.94921875,0.118164063,-1.54296875, 
108,320438499,1.958113909,-2.925915718,-81.53814697,0.467687786,0.127591059,9.416049957,-3.852048635,-11.45333004,4.977576733,-0.950195313,0.12109375,-1.543457031, 
109,320446832,1.920846462,-2.994542599,-81.49380493,0.541529477,0.121611401,9.348744392,-3.591013432,-9.360799789,5.082722664,-0.951171875,0.12109375,-1.54296875, 
110,320455165,1.888816953,-3.07178545,-81.45600128,0.595280945,0.107852921,9.334207535,-3.588478088,-9.141849518,4.808701515,-0.955566406,0.122558594,-1.541992188, 
111,320463498,1.849802613,-3.146770954,-81.42398071,0.63347286,0.064469196,9.28619957,-3.835348129,-10.10002708,3.602860451,-0.950195313,0.124511719,-1.541503906, 
112,320471831,1.811193943,-3.238319874,-81.40538788,0.600551784,0.119906984,9.273292542,-4.491276741,-10.93876362,2.550755024,-0.954101563,0.125976563,-1.538574219, 
113,320480164,1.763035417,-3.318320751,-81.3874054,0.544595361,0.161572844,9.200095177,-4.987194538,-10.66118336,1.80322969,-0.954589844,0.125976563,-1.540527344, 
114,320488497,1.714419007,-3.395422459,-81.37484741,0.563707232,0.202849239,9.141444206,-5.728034973,-9.233752251,1.758609533,-0.955566406,0.123535156,-1.537109375, 
115,320496830,1.653226614,-3.461046219,-81.35317993,0.564756513,0.244982615,9.054859161,-6.497820377,-8.850589752,2.296969652,-0.954101563,0.126953125,-1.534179688, 
116,320505163,1.586629152,-3.560124874,-81.33698273,0.584650397,0.240654022,9.059200287,-7.854298592,-11.86192703,2.247483015,-0.956542969,0.128417969,-1.540039063, 
117,320513496,1.506142378,-3.679349184,-81.32362366,0.689122558,0.197445661,9.003612518,-8.879150391,-15.24981976,1.608330846,-0.958984375,0.130859375,-1.535644531, 
118,320521829,1.421066523,-3.798690081,-81.31510925,0.747180045,0.136435866,9.017807961,-10.12349033,-14.3256321,1.356517315,-0.963378906,0.132324219,-1.533691406, 
119,320530162,1.301287293,-3.899875402,-81.30757141,0.76366663,0.070986494,9.204421043,-13.66207504,-13.03711224,0.812086761,-0.963867188,0.135253906,-1.533691406, 
120,320538495,1.18476212,-4.030471802,-81.31217957,0.852227867,-0.045015514,9.448933601,-13.99995041,-15.71697617,-0.243130401,-0.963378906,0.13671875,-1.533691406, 
121,320546828,1.072072148,-4.157906055,-81.33062744,0.872600675,-0.185108379,9.684389114,-13.01918411,-16.1610527,-2.201493263,-0.963378906,0.136230469,-1.531738281, 
122,320555161,0.977126241,-4.294269562,-81.3640213,0.891849458,-0.201921597,9.75770092,-11.6680584,-16.46939659,-3.735761404,-0.966308594,0.139648438,-1.529785156, 
123,320563494,0.891029119,-4.438117504,-81.40498352,0.784034073,-0.167749166,9.7257061,-9.964683533,-18.07038689,-4.681386948,-0.970214844,0.143554688,-1.529296875, 
124,320571827,0.814966083,-4.5973382,-81.4526825,0.566201925,-0.109457538,9.711050034,-9.554727554,-19.2286377,-5.451889515,-0.969726563,0.142089844,-1.526855469, 
125,320580160,1.190297842,-4.600133419,-81.52752686,0.801419735,-0.88158524,11.61120987,45.10983276,-1.162760258,-9.283922195,-0.973144531,0.138671875,-1.527832031, 
126,320588493,1.786208987,-4.380144119,-81.57820892,1.179696918,-0.163734287,10.97328186,71.05983734,26.1931572,-6.781197071,-0.969726563,0.132324219,-1.532226563, 
127,320596826,2.23185277,-4.134281158,-81.57269287,0.114044569,-0.122459069,9.491477966,54.44570541,28.80433464,-1.066631436,-0.968261719,0.122558594,-1.533691406, 
128,320605159,2.636324167,-3.926991701,-81.60455322,0.824993134,0.425599366,9.388360023,48.29521179,24.65136719,-4.899656773,-0.9609375,0.118164063,-1.534667969, 
129,320613492,3.025984526,-3.781190634,-81.62567139,0.514285564,0.398158908,8.792027473,47.55196762,16.59648514,-4.696918011,-0.962402344,0.108398438,-1.537109375, 
130,320621825,3.419879913,-3.687302113,-81.67637634,0.039275419,0.625141501,8.883764267,46.901371,10.86517048,-6.729257107,-0.956054688,0.102050781,-1.542480469, 
131,320630158,3.827700377,-3.612418413,-81.71020508,0.179664433,0.820769906,8.808550835,49.58690262,7.963394642,-6.207726002,-0.958007813,0.09765625,-1.540039063, 
132,320638491,4.296654224,-3.535993576,-81.74542236,0.209058836,0.794107497,8.831475258,56.04338074,8.805161476,-4.894971371,-0.958984375,0.085449219,-1.545898438, 
133,320646824,4.779355049,-3.447749615,-81.76537323,0.300047845,0.666169226,9.200713158,58.58221054,9.476311684,-5.079037189,-0.954101563,0.081054688,-1.544433594, 
134,320655157,5.253723145,-3.376478672,-81.79801178,0.445568293,0.619532764,9.572384834,56.72590256,8.134272575,-4.682551861,-0.955078125,0.075683594,-1.545898438, 
135,320663490,5.690786362,-3.316310883,-81.81144714,0.426139951,0.685768306,9.664949417,53.11098099,6.06340456,-4.159941673,-0.950683594,0.06640625,-1.544921875, 
136,320671823,6.050395012,-3.2772367,-81.83294678,0.427655131,0.740927994,9.664272308,43.03974533,4.354683399,-3.084227562,-0.952148438,0.059570313,-1.548339844, 
