PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
36,4221939461,-0.3433,-0.608191,0.276252,-0.660257,9.780833244,0.539467394,1.048585296,-0.294627756,-0.070426345,-0.164609879,-2.039550781,0.827636719,-0.393554688
37,4221947794,-0.343308,-0.608203,0.276257,-0.66024,9.775783539,0.535976768,1.066195965,-0.314888597,0.002587038,-0.128775567,-2.040039063,0.829101563,-0.394042969
38,4221956127,-0.34331,-0.608219,0.276271,-0.660219,9.770104408,0.51776588,1.047905803,-0.344473004,-0.132387176,-0.033132009,-2.038574219,0.828125,-0.39453125
39,4221964460,-0.343322,-0.60824,0.276272,-0.660192,9.79101181,0.514740229,1.069572091,-0.31337741,-0.132822633,-0.283921003,-2.0390625,0.829589844,-0.392578125
40,4221972793,-0.343318,-0.608263,0.276272,-0.660173,9.778043747,0.501285553,1.080830336,-0.123140424,-0.142786548,-0.119733736,-2.040527344,0.827148438,-0.39453125
41,4221981126,-0.343322,-0.608285,0.276268,-0.660153,9.786276817,0.543344259,1.045845747,-0.160665303,-0.081491694,-0.208922505,-2.041503906,0.828125,-0.396484375
42,4221989459,-0.34333,-0.608307,0.276275,-0.660126,9.775303841,0.540096879,1.051918507,-0.32574901,-0.185920894,-0.207616165,-2.038574219,0.828613281,-0.390136719
43,4221997792,-0.343333,-0.608326,0.276283,-0.660102,9.79030323,0.523101687,1.080429792,-0.301594794,-0.15856491,-0.126060456,-2.037597656,0.828125,-0.396484375
44,4222006125,-0.343345,-0.60834,0.27629,-0.660081,9.786305428,0.539138436,1.033864975,-0.3736476,-0.047424752,-0.168323934,-2.040039063,0.826660156,-0.39453125
45,4222014458,-0.343355,-0.608351,0.276302,-0.660061,9.796047211,0.54082644,1.034079194,-0.413119167,-0.038511001,-0.110717528,-2.038085938,0.827148438,-0.395507813
46,4222022791,-0.343357,-0.608365,0.276307,-0.660045,9.782400131,0.55594039,1.059636474,-0.251826346,-0.038229246,-0.071297221,-2.0390625,0.825683594,-0.395996094
47,4222031124,-0.34337,-0.608368,0.276324,-0.660028,9.780825615,0.565382183,1.051818371,-0.518496215,0.038984865,-0.046989318,-2.039550781,0.827636719,-0.392578125
48,4222039457,-0.343379,-0.608365,0.276359,-0.660011,9.763408661,0.544925094,1.061460733,-0.659015775,0.002484581,0.170232192,-2.039550781,0.829101563,-0.394042969
49,4222047790,-0.343383,-0.608367,0.276391,-0.659993,9.778272629,0.523859859,1.049486995,-0.586450696,-0.057619222,0.160498783,-2.0390625,0.828125,-0.394042969
50,4222056123,-0.343397,-0.608365,0.276403,-0.659983,9.757249832,0.52808696,1.05103147,-0.471442759,0.178377524,-0.04632334,-2.038574219,0.827636719,-0.392578125
51,4222064456,-0.343403,-0.60837,0.276425,-0.659966,9.764452934,0.519632578,1.074557543,-0.482149512,-0.031134101,0.058451679,-2.0390625,0.826171875,-0.394042969
52,4222072789,-0.343413,-0.608371,0.27644,-0.659954,9.760998726,0.523688436,1.050173402,-0.45922479,0.095899694,-0.004546526,-2.038574219,0.827636719,-0.396484375
53,4222081122,-0.343429,-0.608374,0.276435,-0.659945,9.777543068,0.533673584,1.082761645,-0.306256592,0.230323181,-0.201724902,-2.041992188,0.827148438,-0.393554688
54,4222089455,-0.343446,-0.608374,0.27645,-0.659929,9.794201851,0.550160646,1.072132468,-0.533429265,0.104813442,-0.090456665,-2.041015625,0.828613281,-0.393554688
55,4222097788,-0.343465,-0.608372,0.276453,-0.659921,9.788658142,0.522622764,1.050580859,-0.420393616,0.250968248,-0.146090791,-2.040527344,0.825683594,-0.396484375
56,4222106121,-0.343485,-0.608367,0.276459,-0.659912,9.775940895,0.548623025,1.054085851,-0.478947818,0.256168008,-0.13474369,-2.043457031,0.828125,-0.395507813
57,4222114454,-0.343509,-0.60836,0.276467,-0.659903,9.793192863,0.559173524,1.055351853,-0.543444395,0.285470635,-0.143093914,-2.038574219,0.827148438,-0.395507813
58,4222122787,-0.34353,-0.608351,0.276492,-0.65989,9.786426544,0.553022027,1.033235312,-0.684540391,0.177775577,0.014023793,-2.038574219,0.827148438,-0.393554688
59,4222131120,-0.343547,-0.60834,0.276512,-0.659882,9.771477699,0.539531648,1.051503658,-0.608594179,0.245269105,0.047808971,-2.0390625,0.824707031,-0.394042969
60,4222139453,-0.343574,-0.60832,0.276534,-0.659878,9.776591301,0.540504575,1.032377005,-0.728788972,0.406728446,0.011859391,-2.039550781,0.829101563,-0.395019531
61,4222147786,-0.343604,-0.608305,0.276562,-0.659865,9.757006645,0.53144908,1.042619824,-0.82635361,0.244154885,-0.009515688,-2.040039063,0.828125,-0.394042969
62,4222156119,-0.343626,-0.60829,0.276589,-0.659855,9.767378807,0.534117103,1.07616663,-0.726125181,0.251839161,0.063856296,-2.038085938,0.828125,-0.395507813
63,4222164452,-0.343645,-0.608282,0.276606,-0.659846,9.753852844,0.529982746,1.075880527,-0.579906285,0.224957004,-0.015778366,-2.040039063,0.825195313,-0.394042969
64,4222172785,-0.343657,-0.608283,0.276621,-0.659832,9.739912033,0.55073297,1.064507365,-0.485146463,0.110218063,-0.037076607,-2.041015625,0.831054688,-0.397460938
65,4222181118,-0.343659,-0.608273,0.276645,-0.65983,9.743123055,0.593042195,1.047397971,-0.484121829,0.203658774,0.235650942,-2.0390625,0.826660156,-0.392089844
66,4222189451,-0.343651,-0.608251,0.276687,-0.659837,9.753123283,0.60089606,1.076789021,-0.60121733,0.276108652,0.571415186,-2.041015625,0.829101563,-0.392578125
67,4222197784,-0.343635,-0.608226,0.276746,-0.659844,9.746692657,0.58306402,1.080558538,-0.675447285,0.17854403,0.79372108,-2.038574219,0.826660156,-0.394042969
68,4222206117,-0.343586,-0.608197,0.276822,-0.659865,9.756634712,0.619679391,1.084828734,-0.536144376,0.144797266,1.309937716,-2.038574219,0.828125,-0.396484375
69,4222214450,-0.343529,-0.608157,0.276917,-0.659891,9.752542496,0.594853699,1.068576574,-0.679763377,0.15609315,1.610008478,-2.040527344,0.828125,-0.395996094
70,4222222783,-0.343459,-0.608124,0.277038,-0.659907,9.754760742,0.565658808,1.055608034,-0.800534546,-0.16732499,1.87191391,-2.0390625,0.828125,-0.394042969
71,4222231116,-0.343408,-0.608071,0.277149,-0.659936,9.770541191,0.585293055,1.050811052,-0.923021734,0.246921211,1.761695743,-2.038574219,0.827636719,-0.392089844
72,4222239449,-0.343336,-0.608016,0.277259,-0.659978,9.773594856,0.723134816,1.014873266,-0.691264153,0.300659895,2.00523591,-2.039550781,0.828613281,-0.395996094
73,4222247782,-0.343241,-0.607878,0.27753,-0.66004,9.871202469,0.57908392,0.948738396,-2.264234304,0.378450334,3.970667839,-2.040527344,0.829101563,-0.392578125
74,4222256115,-0.343093,-0.607744,0.277716,-0.660162,9.690556526,0.729935884,1.139875174,-0.824599147,1.037120461,4.008755684,-2.041503906,0.829589844,-0.395019531
75,4222264448,-0.342913,-0.607639,0.277953,-0.660253,9.725906372,0.913156629,1.193699002,-0.983035862,0.148229584,4.474141121,-2.039550781,0.830078125,-0.394042969
76,4222272781,-0.342628,-0.607455,0.278444,-0.660363,9.772893906,0.905806363,1.157147169,-2.728287697,-0.570134461,7.931371212,-2.040039063,0.830566406,-0.39453125
77,4222281114,-0.342317,-0.607234,0.279041,-0.660475,9.839464188,0.62705338,0.977240086,-3.636094809,-0.811740696,9.221176147,-2.038574219,0.831542969,-0.39453125
78,4222289447,-0.341964,-0.607036,0.279657,-0.66058,9.774933815,0.700031579,1.096897006,-3.369770527,-1.33482182,9.623601913,-2.039550781,0.836425781,-0.392089844
79,4222297780,-0.341577,-0.606823,0.280316,-0.660697,9.814406395,0.496923834,1.063727975,-3.513517141,-1.438943624,10.40327168,-2.038085938,0.832519531,-0.392089844
80,4222306113,-0.341207,-0.606579,0.281013,-0.660816,9.796836853,0.178226918,1.010077596,-4.130820751,-1.251268387,10.7110033,-2.034179688,0.838867188,-0.393554688
81,4222314446,-0.340933,-0.606427,0.281507,-0.660886,9.790447235,0.148226574,1.003941774,-2.843589544,-1.164013267,7.552370071,-2.03515625,0.83984375,-0.391113281
82,4222322779,-0.340678,-0.606309,0.28191,-0.660955,9.776338577,0.217423424,1.031227946,-2.020079374,-0.987467229,6.483757019,-2.033203125,0.841308594,-0.394042969
83,4222331112,-0.34047,-0.60619,0.282307,-0.661002,9.776797295,0.149158597,1.028848052,-2.444046259,-0.946791768,5.904541969,-2.036132813,0.839355469,-0.392578125
84,4222339445,-0.340336,-0.606082,0.282605,-0.661042,9.758515358,0.104876749,1.01110661,-2.142822981,-0.345446378,4.33308363,-2.034667969,0.841308594,-0.392578125
85,4222347778,-0.340241,-0.606024,0.282773,-0.661072,9.783901215,0.217998415,1.003731251,-1.087670088,-0.139226168,2.65732336,-2.03515625,0.840820313,-0.391601563
86,4222356111,-0.340157,-0.605972,0.2829,-0.661109,9.808454514,0.375107527,0.983218849,-0.752174914,0.104480468,2.232254982,-2.035644531,0.842773438,-0.392578125
87,4222364444,-0.34009,-0.605882,0.283062,-0.661157,9.793777466,0.438795865,1.069973946,-1.350164771,0.441999257,2.549385071,-2.031738281,0.844726563,-0.390136719
88,4222372777,-0.340012,-0.605799,0.283248,-0.661193,9.770956993,0.429519206,1.032193542,-1.483666301,0.123460621,2.771357775,-2.034179688,0.843261719,-0.395507813
89,4222381110,-0.33996,-0.605701,0.28342,-0.661236,9.824101448,0.487446427,1.028041005,-1.611583829,0.481445193,2.519697905,-2.034179688,0.841796875,-0.391113281
90,4222389443,-0.339882,-0.605572,0.283693,-0.661277,9.803109169,0.474979967,1.038662314,-2.477857351,0.1761235,3.692420483,-2.034667969,0.842773438,-0.387695313
91,4222397776,-0.339773,-0.605451,0.283975,-0.661323,9.794714928,0.360031307,1.074356794,-2.233343601,-0.015458193,4.06121397,-2.03515625,0.843261719,-0.392089844
92,4222406109,-0.339655,-0.605333,0.284243,-0.661376,9.778684616,0.334237486,1.12621367,-1.996898651,0.047309492,4.04072237,-2.035644531,0.846191406,-0.391113281
93,4222414442,-0.339536,-0.605259,0.284495,-0.661397,9.803926468,0.271622628,1.045096397,-1.765858173,-0.552076399,3.596238613,-2.034667969,0.845214844,-0.392089844
94,4222422775,-0.339411,-0.605208,0.284713,-0.661414,9.846603394,0.238992691,0.983127832,-1.318966627,-0.655378699,3.249447823,-2.034179688,0.846191406,-0.390136719
95,4222431108,-0.339289,-0.605168,0.284892,-0.661436,9.7902174,0.203104123,1.058982253,-0.907922208,-0.527012885,2.884675026,-2.03125,0.844726563,-0.391113281
96,4222439441,-0.339152,-0.605184,0.28503,-0.661432,9.771759987,0.217397228,1.064119339,-0.24797143,-1.116114736,2.330498457,-2.033203125,0.847167969,-0.390625
97,4222447774,-0.33903,-0.605212,0.285136,-0.661424,9.81482029,0.222399846,1.022761226,-0.047296688,-1.050760031,1.878727436,-2.031738281,0.848144531,-0.388671875
98,4222456107,-0.33893,-0.605255,0.285232,-0.661393,9.832687378,0.169880807,1.035979033,-0.160191402,-1.241265774,1.422166348,-2.029785156,0.846679688,-0.390625
99,4222464440,-0.33882,-0.605331,0.285276,-0.661361,9.822594643,0.215296686,1.031668544,0.544315279,-1.35345614,0.946868598,-2.032226563,0.846679688,-0.391113281
100,4222472773,-0.338735,-0.605412,0.285281,-0.661329,9.857883453,0.162949219,0.985640287,0.720656455,-1.116639733,0.365335822,-2.030761719,0.849121094,-0.392089844
101,4222481106,-0.33865,-0.60551,0.285252,-0.661295,9.814222336,0.180838183,1.018908143,1.09943974,-1.125476718,0.011244648,-2.034179688,0.849609375,-0.388183594
102,4222489439,-0.338594,-0.605619,0.285169,-0.66126,9.857091904,0.145439446,0.990335941,1.391314149,-0.865133643,-0.743363619,-2.033691406,0.848144531,-0.391601563
103,4222497772,-0.338552,-0.605736,0.285053,-0.661224,9.883436203,0.161172748,1.027994871,1.617897391,-0.755760789,-1.180547237,-2.032714844,0.849121094,-0.391601563
104,4222506105,-0.338527,-0.605866,0.284883,-0.661191,9.885796547,0.181166992,1.002177238,2.032515287,-0.512246251,-1.836604834,-2.03125,0.849609375,-0.390136719
105,4222514438,-0.338523,-0.605998,0.284655,-0.66117,9.837042809,0.237172827,0.982079685,2.42858839,-0.097679891,-2.449323177,-2.031738281,0.844238281,-0.391601563
106,4222522771,-0.338549,-0.606116,0.284417,-0.661151,9.847518921,0.269514978,0.982758999,2.232869864,0.230886728,-2.742221832,-2.035644531,0.846679688,-0.391601563
107,4222531104,-0.338623,-0.606199,0.28416,-0.661148,9.839129448,0.292102963,0.968285799,1.897502542,0.94332093,-3.135348797,-2.032714844,0.844238281,-0.389160156
108,4222539437,-0.338739,-0.606265,0.283899,-0.66114,9.833985329,0.296956927,1.03987205,1.484216928,1.254610777,-3.496150732,-2.032226563,0.842773438,-0.389160156
109,4222547770,-0.338856,-0.606336,0.283618,-0.661136,9.828248978,0.339227289,0.973454654,1.693075418,1.324460983,-3.667484522,-2.031738281,0.844726563,-0.392089844
110,4222556103,-0.338995,-0.606388,0.283331,-0.66114,9.859268188,0.409113437,1.002200246,1.516029716,1.682650447,-3.826369762,-2.03515625,0.844726563,-0.390136719
111,4222564436,-0.339158,-0.606418,0.283056,-0.661146,9.86432457,0.407678217,1.040151834,1.112605453,1.939125776,-3.837768078,-2.034667969,0.843261719,-0.389160156
112,4222572769,-0.339354,-0.606417,0.282809,-0.661152,9.836595535,0.378933072,1.001574993,0.426284939,2.224865675,-3.78729558,-2.034179688,0.841308594,-0.389648438
113,4222581102,-0.33957,-0.606413,0.282522,-0.661167,9.802090645,0.447750479,1.010556698,0.647028446,2.574832678,-4.240923405,-2.036132813,0.844238281,-0.39453125
114,4222589435,-0.339806,-0.606392,0.28225,-0.661183,9.792901993,0.500623405,1.013641238,0.273329526,2.762469769,-4.235787868,-2.033691406,0.841308594,-0.39453125
115,4222597768,-0.340042,-0.606343,0.282034,-0.661198,9.797699928,0.486884505,1.028132915,-0.376670122,2.737495899,-3.656316757,-2.031738281,0.842773438,-0.39453125
116,4222606101,-0.340303,-0.606282,0.281833,-0.661205,9.771294594,0.432744116,1.046188831,-0.797973037,2.814133644,-3.762666702,-2.036621094,0.840332031,-0.394042969
117,4222614434,-0.340569,-0.60622,0.281628,-0.661212,9.734514236,0.377321035,1.062410951,-0.814801693,2.856320381,-3.834540844,-2.034179688,0.839355469,-0.393554688
118,4222622767,-0.340848,-0.606176,0.281425,-0.661195,9.731122017,0.359336555,1.085922599,-0.954130292,2.532902002,-4.104527473,-2.033691406,0.836914063,-0.393554688
119,4222631100,-0.34115,-0.606151,0.281209,-0.661155,9.754267693,0.361980408,1.081083059,-1.022212982,2.320355415,-4.619117737,-2.038085938,0.840820313,-0.393554688
120,4222639433,-0.341449,-0.606155,0.280974,-0.661096,9.721781731,0.358006388,1.086470366,-0.753378749,1.966174364,-4.94092226,-2.034179688,0.838378906,-0.392578125
121,4222647766,-0.341746,-0.606176,0.280748,-0.661021,9.675841331,0.32177496,1.101832628,-0.811740696,1.636992812,-4.992086411,-2.037109375,0.837402344,-0.398925781
122,4222656099,-0.34203,-0.606251,0.280471,-0.660922,9.655695915,0.356059968,1.103805184,-0.075139359,1.129843831,-5.630047321,-2.036132813,0.834472656,-0.393066406
123,4222664432,-0.342315,-0.606363,0.280169,-0.660799,9.694908142,0.357153594,1.124215722,0.223689154,0.719452739,-6.088439941,-2.03515625,0.837890625,-0.39453125
124,4222672765,-0.342595,-0.606487,0.279862,-0.66067,9.741008759,0.420649111,1.128890872,0.338722706,0.566023469,-6.16374588,-2.034179688,0.836914063,-0.395996094
125,4222681098,-0.342862,-0.606636,0.279527,-0.660537,9.771121025,0.458059579,1.058494449,0.818835855,0.393204093,-6.397423744,-2.035644531,0.834472656,-0.397949219
126,4222689431,-0.343115,-0.606792,0.279206,-0.660399,9.781607628,0.50578934,1.031488657,0.807527304,0.159615114,-6.206944466,-2.036621094,0.83203125,-0.39453125
127,4222697764,-0.343366,-0.606926,0.278886,-0.66028,9.7870121,0.543434501,1.059518576,0.794220567,0.498427391,-5.991976261,-2.038085938,0.832519531,-0.395996094
128,4222706097,-0.343597,-0.607042,0.278595,-0.660177,9.776415825,0.539950967,1.062458992,0.66433084,0.595223606,-5.43361187,-2.038574219,0.831054688,-0.395019531
129,4222714430,-0.343825,-0.607149,0.278297,-0.660084,9.75736618,0.536188185,1.027776361,0.750151336,0.772307694,-5.38413763,-2.037597656,0.832519531,-0.3984375
130,4222722763,-0.34407,-0.607231,0.278023,-0.659997,9.735488892,0.494889498,1.023702621,0.29684338,1.012812495,-5.21550703,-2.041015625,0.829589844,-0.393554688
131,4222731096,-0.344322,-0.607302,0.277736,-0.659921,9.7308321,0.48975578,1.007914305,0.35736981,1.287499309,-5.287097931,-2.036621094,0.827636719,-0.397949219
132,4222739429,-0.344588,-0.607369,0.277412,-0.659857,9.723896027,0.459167629,1.037664175,0.590613067,1.648814082,-5.663448334,-2.038085938,0.828125,-0.395507813
133,4222747762,-0.34486,-0.607432,0.277065,-0.659802,9.786917686,0.50603503,1.026858449,0.765788853,1.891380787,-5.830888748,-2.041503906,0.828613281,-0.398925781
134,4222756095,-0.34514,-0.607476,0.276728,-0.659757,9.801107407,0.529266536,1.062531829,0.560234547,2.144884825,-5.706915379,-2.0390625,0.825683594,-0.398925781
135,4222764428,-0.345424,-0.607505,0.276386,-0.659725,9.82276535,0.512735605,1.043355465,0.5511415,2.408071041,-5.673182011,-2.0390625,0.823730469,-0.397949219
136,4222772761,-0.345731,-0.607506,0.276045,-0.659706,9.841367722,0.454804957,1.020158052,0.258498847,2.867564678,-5.708580494,-2.041015625,0.82421875,-0.395507813
137,4222781094,-0.346041,-0.607517,0.275652,-0.659698,9.852517128,0.545323253,1.033355474,0.805209041,3.113666296,-6.149350166,-2.039550781,0.824707031,-0.3984375
138,4222789427,-0.346366,-0.607498,0.275263,-0.659707,9.827371597,0.620245993,1.056687117,0.563128948,3.580972433,-6.056549549,-2.040039063,0.822265625,-0.3984375
139,4222797760,-0.346684,-0.607443,0.274923,-0.659732,9.769510269,0.58871007,1.084528804,0.068390004,3.767725706,-5.375620842,-2.041992188,0.819824219,-0.3984375
140,4222806093,-0.347013,-0.607395,0.274558,-0.659756,9.756633759,0.57461983,1.124297619,0.227377534,3.866468191,-5.721848488,-2.040039063,0.8203125,-0.397949219
141,4222814426,-0.347327,-0.607351,0.274197,-0.659781,9.751669884,0.658723593,1.107491255,0.339977771,3.757300854,-5.553947449,-2.046386719,0.821777344,-0.399902344
