PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
4551,606226777,30.97481346,-15.11260509,-104.7481537,2.467468739,4.953351974,7.937893391,72.05462646,13.66849804,10.82924938,-1.077636719,-0.612304688,-1.133300781, 
4552,606235110,31.56389999,-15.03520203,-104.6211777,2.405291796,5.017082214,7.821964741,75.9305191,14.1802578,8.185136795,-1.075683594,-0.613769531,-1.128417969, 
4553,606243443,32.16546249,-14.95921612,-104.5212173,2.413105965,5.115294456,7.653727055,76.63791656,12.48335648,5.428159714,-1.077148438,-0.621582031,-1.127441406, 
4554,606251776,32.74313736,-14.9067955,-104.4554825,2.458844423,5.127393246,7.444075584,72.62953949,8.002321243,3.486459494,-1.073730469,-0.625488281,-1.118652344, 
4555,606260109,33.29451752,-14.89260101,-104.4249268,2.495651007,5.101010799,7.420209885,68.45220184,1.978873968,2.441135883,-1.074707031,-0.629394531,-1.11328125, 
4556,606268442,33.7743721,-14.89301205,-104.4033432,2.418551922,5.17514658,7.446810246,59.524189,-0.053354606,2.547074318,-1.072753906,-0.633300781,-1.107910156, 
4557,606276775,34.20178223,-14.90937805,-104.387352,2.460993767,5.219715118,7.413595676,53.12573624,-1.972044945,3.031106472,-1.075683594,-0.637695313,-1.1015625, 
4558,606285108,34.62201309,-14.93872166,-104.3719711,2.492730618,5.267585754,7.484764099,52.17695236,-3.293128014,3.893155813,-1.073730469,-0.641601563,-1.097167969, 
4559,606293441,35.01671219,-14.96652794,-104.3364182,2.535350561,5.402067661,7.488503933,49.80482864,-1.766848326,5.685412407,-1.073242188,-0.643066406,-1.091308594, 
4560,606301774,35.38295364,-14.98603821,-104.2870712,2.556993008,5.52348423,7.452251911,46.75333023,-0.011654498,6.458244324,-1.074707031,-0.646484375,-1.086914063, 
4561,606310107,35.76968384,-14.9806509,-104.2416,2.57683444,5.619339466,7.379995346,49.16001511,2.212985277,4.310206413,-1.076171875,-0.649414063,-1.083984375, 
4562,606318440,36.20046234,-14.94568348,-104.2067337,2.513227701,5.630378723,7.379958153,54.04825974,4.373987675,1.234673381,-1.069335938,-0.651367188,-1.081542969, 
4563,606326773,36.65068436,-14.90228081,-104.1761017,2.545031548,5.689818859,7.353788376,56.31081772,4.918703079,0.164507911,-1.076171875,-0.65234375,-1.071777344, 
4564,606335106,37.13384247,-14.86120129,-104.1363449,2.537283182,5.770328522,7.20361042,60.4805336,5.315034389,1.158804417,-1.07421875,-0.658691406,-1.068847656, 
4565,606343439,37.62709045,-14.81405354,-104.0782394,2.463211775,5.873679638,7.271165371,62.30980682,7.207448959,2.322104931,-1.07421875,-0.660644531,-1.062988281, 
4566,606351772,38.10290909,-14.76533794,-104.0363388,2.394523859,5.901080132,7.271809101,59.65616226,6.203749657,0.681046307,-1.07421875,-0.6640625,-1.05859375, 
4567,606360105,38.52920151,-14.71539688,-104.0087814,2.471004486,5.958042145,7.207111359,53.33382797,5.304196835,-0.807285905,-1.075195313,-0.667480469,-1.0546875, 
4568,606368438,38.89424133,-14.65770245,-103.9749756,2.514057159,5.993358612,7.162133694,46.1079483,6.460626125,-0.835691452,-1.070800781,-0.669433594,-1.053710938, 
4569,606376771,39.20396423,-14.6102953,-103.9365692,2.416707516,6.076383591,7.15383625,39.66307449,5.846393585,0.279899955,-1.073730469,-0.674804688,-1.047851563, 
4570,606385104,39.45568085,-14.58105373,-103.8996506,2.458076715,6.102909088,7.105122566,32.597435,4.035180092,1.522780418,-1.071289063,-0.673339844,-1.047363281, 
4571,606393437,39.64530945,-14.55757523,-103.8689041,2.459118605,6.111204147,7.033710003,25.01322365,3.064732075,1.359437823,-1.072753906,-0.673339844,-1.042480469, 
4572,606401770,39.79524231,-14.51605797,-103.8447571,2.479316473,6.124726295,6.974155426,19.99292755,4.229436874,-0.593686938,-1.069335938,-0.676757813,-1.041015625, 
4573,606410103,39.93252182,-14.45348454,-103.8269196,2.405546665,6.243257523,7.046617985,18.33584023,5.710759163,-2.822587013,-1.069824219,-0.676269531,-1.041992188, 
4574,606418436,40.05265427,-14.37243938,-103.8180466,2.295459509,6.297168255,7.13929224,15.95381927,6.718270302,-5.028869629,-1.069335938,-0.683105469,-1.037597656, 
