PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
31,4221889463,-0.635579,-0.284953,0.689149,-0.199809,9.77528286,0.86226809,-1.140063047,0.750548244,0.443945885,-0.127776608,-1.012207031,-0.848632813,0.158691406
32,4221897796,-0.635584,-0.284991,0.689114,-0.19986,9.809423447,0.867682755,-1.121580124,0.536643803,0.293487906,-0.178415954,-1.010742188,-0.850097656,0.157714844
33,4221906129,-0.635587,-0.285023,0.689083,-0.199912,9.806276321,0.858956277,-1.135334969,0.435800582,0.272228092,-0.093607217,-1.009277344,-0.850585938,0.15625
34,4221914462,-0.635598,-0.28505,0.689048,-0.199961,9.790346146,0.887402713,-1.115814805,0.390591443,0.386032164,-0.109180674,-1.010742188,-0.848632813,0.158203125
35,4221922795,-0.635599,-0.28508,0.689019,-0.200013,9.781084061,0.858734906,-1.12526381,0.433264762,0.234421492,-0.067992993,-1.010253906,-0.851074219,0.157714844
36,4221931128,-0.635605,-0.28511,0.688987,-0.200061,9.777013779,0.876473606,-1.123833179,0.422404319,0.296254218,-0.123934478,-1.008789063,-0.849609375,0.157226563
37,4221939461,-0.635614,-0.285133,0.688954,-0.200114,9.801834106,0.845330119,-1.128074884,0.531546593,0.40260452,-0.035360452,-1.013671875,-0.848144531,0.159179688
38,4221947794,-0.63562,-0.285174,0.688912,-0.200178,9.800639153,0.858340859,-1.120314002,0.696758389,0.411620766,-0.12711063,-1.012207031,-0.850097656,0.158691406
39,4221956127,-0.635631,-0.285214,0.688867,-0.20024,9.783107758,0.881365776,-1.124898911,0.579547644,0.484288275,-0.158334389,-1.010253906,-0.850585938,0.155761719
40,4221964460,-0.635641,-0.285253,0.688824,-0.200303,9.776748657,0.872611105,-1.126980424,0.653009236,0.464923978,-0.125881165,-1.010742188,-0.849121094,0.156738281
41,4221972793,-0.635655,-0.285287,0.688781,-0.200359,9.794988632,0.867561162,-1.116773367,0.54348278,0.491921395,-0.15462032,-1.008300781,-0.848144531,0.155273438
42,4221981126,-0.635664,-0.285319,0.688739,-0.200428,9.797821045,0.856188178,-1.109742165,0.658541977,0.496506304,-0.014945905,-1.01171875,-0.849121094,0.156738281
43,4221989459,-0.63567,-0.285339,0.688707,-0.20049,9.787742615,0.852926433,-1.116708994,0.483417422,0.391001314,0.085577153,-1.010253906,-0.8515625,0.158691406
44,4221997792,-0.635666,-0.285373,0.688678,-0.200555,9.797348976,0.873469472,-1.110299945,0.650473475,0.216235355,0.033913247,-1.011230469,-0.852050781,0.155273438
45,4222006125,-0.63567,-0.285397,0.688652,-0.2006,9.7935009,0.843255818,-1.103769541,0.638357937,0.271049827,-0.095630743,-1.009765625,-0.849121094,0.157714844
46,4222014458,-0.635668,-0.285436,0.688621,-0.200657,9.79725647,0.855279744,-1.097124457,0.617584825,0.222843841,-0.105492219,-1.008300781,-0.848144531,0.158203125
47,4222022791,-0.635676,-0.285464,0.688587,-0.200705,9.805667877,0.855165303,-1.087732792,0.428756684,0.343410015,-0.124984659,-1.012207031,-0.850097656,0.157714844
48,4222031124,-0.635684,-0.285474,0.68857,-0.200723,9.793229103,0.8731547,-1.095336318,-0.087741561,0.123896047,-0.153647006,-1.009277344,-0.852050781,0.157714844
49,4222039457,-0.635696,-0.285473,0.688556,-0.200736,9.797019958,0.849435866,-1.127209425,-0.236816406,0.152404696,-0.076599367,-1.009765625,-0.849121094,0.158691406
